ID,Recorder,Start Min,Start Max,End Min,End Max,PRFA Sex,Comments
1,2,4/25/24 12:00 AM,4/25/24 12:00 AM,4/25/24 7:00 AM,4/25/24 7:00 AM,1,Hourly captures showed female PRFA on eggs for 7 hours without apparent movement
2,2,4/25/24 8:00 AM,4/25/24 8:00 AM,4/25/24 8:00 AM,4/25/24 8:16 AM,3,"Hourly capture showed both PRFAs on eggs, then both on ledge 16 minutes later"
3,2,4/25/24 9:00 AM,4/25/24 9:00 AM,4/25/24 9:00 AM,4/25/24 10:02 AM,1,Two hourly captures showed female on eggs
4,2,4/25/24 11:00 AM,4/25/24 10:37 AM,4/25/24 2:00 PM,4/25/24 2:00 PM,1,
5,2,4/25/24 3:00 PM,4/25/24 2:00 PM,4/25/24 4:00 PM,4/25/24 4:18 PM,2,Nest swap evident between end of last observation and beginning of this one
6,2,4/25/24 4:19 PM,4/25/24 4:19 PM,4/25/24 6:00 PM,4/25/24 6:27 PM,1,
7,2,4/25/24 7:00 PM,4/25/24 6:27 PM,4/26/24 6:00 AM,4/26/24 6:55 AM,2,
8,2,4/26/24 7:00 AM,4/26/24 6:55 AM,4/26/24 7:00 AM,4/26/24 7:26 AM,1,
9,2,4/26/24 8:00 AM,4/26/24 7:26 AM,4/26/24 10:00 AM,4/26/24 10:09 AM,1,
10,2,4/26/24 11:00 AM,4/26/24 10:49 AM,4/26/24 12:02 PM,4/26/24 12:59 PM,2,
11,2,4/26/24 1:00 PM,4/26/24 12:02 PM,4/26/24 5:00 PM,4/26/24 5:43 PM,1,Nest swap evident between this and last observation
12,2,4/26/24 7:00 PM,4/26/24 6:26 PM,4/26/24 7:00 PM,4/26/24 7:00 PM,2,
13,2,4/26/24 9:00 PM,4/26/24 8:51 PM,4/27/24 6:00 AM,4/27/24 6:25 AM,1,
14,2,4/27/24 7:00 AM,4/27/24 6:25 AM,4/27/24 7:00 AM,4/27/24 7:26 AM,1,
15,2,4/27/24 8:00 AM,4/27/24 7:26 AM,4/27/24 11:00 AM,4/27/24 11:39 AM,1,
16,2,4/27/24 12:00 PM,4/27/24 11:39 AM,4/27/24 12:00 PM,4/27/24 12:44 PM,2,
17,2,4/27/24 1:00 PM,4/27/24 12:48 PM,4/27/24 5:00 PM,4/27/24 5:51 PM,1,
